ID,projectname,classification,Abstract,label,easy_code,validate
2495,jruby-1.4.0,WITHOUT_CLASSIFICATION,// TODO: read into buffer using all the fread logic //        int read = openFile.getMainStream().fread(buffer);,no,yes,yes
2510,jruby-1.4.0,WITHOUT_CLASSIFICATION,"// All errors to sysread should be SystemCallErrors, but on a closed stream // Ruby returns an IOError.  Java throws same exception for all errors so // we resort to this hack...",no,yes,yes
2518,jruby-1.4.0,WITHOUT_CLASSIFICATION,// FIXME: process options,no,yes,yes
2528,jruby-1.4.0,WITHOUT_CLASSIFICATION,// TODO: rb_usascii_str_new2,no,yes,yes
2563,jruby-1.4.0,WITHOUT_CLASSIFICATION,// FIXME warning,no,yes,yes
2566,jruby-1.4.0,WITHOUT_CLASSIFICATION,//FIXME warning,no,yes,yes
2634,jruby-1.4.0,WITHOUT_CLASSIFICATION,// TODO: why this: .setResult();,no,yes,yes
2645,jruby-1.4.0,WITHOUT_CLASSIFICATION,// FIXME: Temporarily disabling because this fires way too much running Rails tests. JRUBY-518,no,yes,yes
2785,jruby-1.4.0,WITHOUT_CLASSIFICATION,"// TODO: Ruby logic is somewhat more complicated here, see comments after",no,yes,yes
2861,jruby-1.4.0,WITHOUT_CLASSIFICATION,// TODO: varargs?,no,yes,yes
3382,jruby-1.4.0,WITHOUT_CLASSIFICATION,// FIXME: JRUBY-3604,no,yes,yes
3696,jruby-1.4.0,WITHOUT_CLASSIFICATION,// TODO: varargs?,no,yes,yes
4068,jruby-1.4.0,WITHOUT_CLASSIFICATION,// FIXME: peek('u') utf8 stuff for 1.9,no,yes,yes
4075,jruby-1.4.0,WITHOUT_CLASSIFICATION,// FIXME: Old Mac format strings?,no,yes,yes
4083,jruby-1.4.0,WITHOUT_CLASSIFICATION,// FIXME: Old Mac format strings?,no,yes,yes
4095,jruby-1.4.0,WITHOUT_CLASSIFICATION,// TODO: FD_CLOEXEC is mysterious and we are not sure how constantine should include this. // We did it here for now,no,yes,yes
4255,jruby-1.4.0,WITHOUT_CLASSIFICATION,// FIXME: Temporarily disabling because this fires way too much running Rails tests. JRUBY-518,no,yes,yes
4268,jruby-1.4.0,WITHOUT_CLASSIFICATION,// FIXME: Temporarily disabling because this fires way too much running Rails tests. JRUBY-518,no,yes,yes
4276,jruby-1.4.0,WITHOUT_CLASSIFICATION,"// FIXME: DSTR,EVSTR,STR: warning ""string literal in condition""",no,yes,yes
4411,jruby-1.4.0,WITHOUT_CLASSIFICATION,// TODO assuming case is a fixnum,no,yes,yes
